seq,keyword_pt,keyword_en,category,section,slug_pt,slug_en,intent,priority,link_to,link_from,status,published_date,notes
1,história do mahjong,history of mahjong,História,Culture,historia-do-mahjong,history-of-mahjong,Informational,Alta,/cultura-mahjong/|/jogar-mahjong/,/cultura-mahjong/,Gerado,2026-07-27,Alta
2,origem do mahjong na china,origin of mahjong in china,História,Culture,origem-do-mahjong-na-china,origin-of-mahjong-in-china,Informational,Média,/cultura-mahjong/|/jogar-mahjong/,/cultura-mahjong/,Pendente,,Média
3,como jogar mahjong para iniciantes,how to play mahjong for beginners,Regras,HowTo,como-jogar-mahjong-iniciantes,how-to-play-mahjong-beginners,Informational,Alta,/como-jogar-mahjong/|/jogar-mahjong/,/como-jogar-mahjong/,Pendente,,Alta
4,regras do mahjong passo a passo,mahjong rules step by step,Regras,HowTo,regras-do-mahjong-passo-a-passo,mahjong-rules-step-by-step,Informational,Alta,/como-jogar-mahjong/|/jogar-mahjong/,/como-jogar-mahjong/,Pendente,,Alta
5,quem inventou o mahjong,who invented mahjong,História,Culture,quem-inventou-o-mahjong,who-invented-mahjong,Informational,Média,/cultura-mahjong/|/jogar-mahjong/,/cultura-mahjong/,Pendente,,Média
6,mahjong na dinastia qing,mahjong in the qing dynasty,História,Culture,mahjong-dinastia-qing,mahjong-qing-dynasty,Informational,Baixa,/cultura-mahjong/|/jogar-mahjong/,/cultura-mahjong/,Pendente,,Baixa
7,como jogar mahjong solitário,how to play mahjong solitaire,Modos,HowTo,como-jogar-mahjong-solitario,how-to-play-mahjong-solitaire,Informational,Alta,/como-jogar-mahjong/|/jogar-mahjong/,/como-jogar-mahjong/|/jogar-mahjong/,Pendente,,Alta
8,como jogar mahjong connect,how to play mahjong connect,Modos,HowTo,como-jogar-mahjong-connect,how-to-play-mahjong-connect,Informational,Alta,/como-jogar-mahjong/|/mahjong-connect/,/como-jogar-mahjong/|/mahjong-connect/,Pendente,,Alta
9,mahjong e o ano novo chinês,mahjong and chinese new year,Festas,Culture,mahjong-ano-novo-chines,mahjong-chinese-new-year,Informational,Média,/cultura-mahjong/|/jogar-mahjong/|/mahjong-relaxante/,/cultura-mahjong/,Pendente,,Média
10,significado das peças de mahjong,meaning of mahjong tiles,Simbolismo,Culture,significado-das-pecas-de-mahjong,meaning-of-mahjong-tiles,Informational,Alta,/cultura-mahjong/|/jogar-mahjong/,/cultura-mahjong/,Pendente,,Alta
11,como jogar mahjong clássico,how to play classic mahjong,Modos,HowTo,como-jogar-mahjong-classico,how-to-play-classic-mahjong,Informational,Média,/como-jogar-mahjong/|/mahjong-classico/,/como-jogar-mahjong/|/mahjong-classico/,Pendente,,Média
12,como jogar mahjong cadeia,how to play mahjong chain,Modos,HowTo,como-jogar-mahjong-cadeia,how-to-play-mahjong-chain,Informational,Média,/como-jogar-mahjong/|/mahjong-cadeia/,/como-jogar-mahjong/|/mahjong-cadeia/,Pendente,,Média
13,simbolismo dos dragões no mahjong,symbolism of dragons in mahjong,Simbolismo,Culture,simbolismo-dos-dragoes-mahjong,dragon-symbolism-mahjong,Informational,Média,/cultura-mahjong/|/jogar-mahjong/,/cultura-mahjong/,Pendente,,Média
14,o que significam os caracteres no mahjong,what mahjong characters mean,Simbolismo,Culture,caracteres-do-mahjong-significado,mahjong-characters-meaning,Informational,Média,/cultura-mahjong/|/jogar-mahjong/,/cultura-mahjong/,Pendente,,Média
15,como jogar mahjong pirâmide,how to play mahjong pyramid,Modos,HowTo,como-jogar-mahjong-piramide,how-to-play-mahjong-pyramid,Informational,Média,/como-jogar-mahjong/|/mahjong-piramide/,/como-jogar-mahjong/|/mahjong-piramide/,Pendente,,Média
16,como jogar mahjong cronometrado,how to play timed mahjong,Modos,HowTo,como-jogar-mahjong-cronometrado,how-to-play-timed-mahjong,Informational,Média,/como-jogar-mahjong/|/mahjong-cronometrado/,/como-jogar-mahjong/|/mahjong-cronometrado/,Pendente,,Média
